task_id,office_type,task_type,seed,Q_s,Q_t,CTR,tok_s,tok_t,tok_ratio,TMS_s,TMS_t,time_s,time_t
t-CONTENT-H-03,content,high_coupling,0,0.92,0.6512,0.708,8175,33191,4.06,True,False,77.4,181.9
t-CONTENT-H-03,content,high_coupling,1,0.92,0.7137,0.776,8741,29062,3.32,True,True,76.5,160.7
t-CONTENT-L-01,content,low_coupling,0,0.8184,0.9122,1.115,8702,19283,2.22,True,True,85.1,117.1
t-CONTENT-L-01,content,low_coupling,1,0.8653,0.8731,1.009,2775,15311,5.52,True,True,21.6,95.3
t-CONTENT-M-02,content,medium_coupling,0,0.82,0.7144,0.871,1906,7101,3.73,True,True,16.9,60.9
t-CONTENT-M-02,content,medium_coupling,1,0.92,0.7144,0.777,2102,4256,2.02,True,True,17.2,33.6
t-CROSS-H-03,cross_dept,high_coupling,0,0.42,0.92,2.19,8908,13858,1.56,False,True,71.7,68.8
t-CROSS-H-03,cross_dept,high_coupling,1,0.92,0.92,1.0,8143,12101,1.49,True,True,60.1,64.3
t-CROSS-L-01,cross_dept,low_coupling,0,0.62,0.495,0.798,1114,2679,2.4,False,False,5.1,8.8
t-CROSS-L-01,cross_dept,low_coupling,1,0.62,0.495,0.798,1037,2535,2.44,False,False,3.7,8.1
t-CROSS-M-02,cross_dept,medium_coupling,0,0.8054,0.6978,0.866,3993,11611,2.91,True,False,30.7,98.1
t-CROSS-M-02,cross_dept,medium_coupling,1,0.8054,0.6978,0.866,4120,13238,3.21,True,False,30.2,87.1
t-DATA-H-03,data,high_coupling,0,0.92,0.92,1.0,4810,16972,3.53,True,True,8.1,42.4
t-DATA-H-03,data,high_coupling,1,0.92,0.92,1.0,6981,21542,3.09,True,True,22.9,70.3
t-DATA-L-01,data,low_coupling,0,0.92,0.5367,0.583,8222,9642,1.17,True,False,40.0,30.6
t-DATA-L-01,data,low_coupling,1,0.7533,0.5367,0.712,7072,8212,1.16,True,False,31.4,22.6
t-DATA-M-02,data,medium_coupling,0,0.8137,0.8137,1.0,2138,3603,1.69,True,True,14.0,15.6
t-DATA-M-02,data,medium_coupling,1,0.8137,0.9137,1.123,2169,4742,2.19,True,True,14.2,25.6
t-DOC-H-03,document,high_coupling,0,0.8932,0.7771,0.87,4964,15899,3.2,True,True,37.7,74.4
t-DOC-H-03,document,high_coupling,1,0.7504,0.42,0.56,8845,26956,3.05,True,False,70.8,170.7
t-DOC-L-01,document,low_coupling,0,0.92,0.92,1.0,3827,9179,2.4,True,True,18.9,39.4
t-DOC-L-01,document,low_coupling,1,0.92,0.92,1.0,4845,10271,2.12,True,True,28.8,52.4
t-DOC-M-02,document,medium_coupling,0,0.92,0.7325,0.796,3757,22504,5.99,True,True,30.7,153.6
t-DOC-M-02,document,medium_coupling,1,0.92,0.7325,0.796,2223,17717,7.97,True,True,16.6,121.2
t-PROJ-H-03,project,high_coupling,0,0.42,0.42,1.0,9292,36488,3.93,False,False,66.5,248.6
t-PROJ-H-03,project,high_coupling,1,0.42,0.42,1.0,9292,21895,2.36,False,False,69.0,119.6
t-PROJ-L-01,project,low_coupling,0,0.5575,0.6096,1.093,2071,4738,2.29,False,False,7.8,14.1
t-PROJ-L-01,project,low_coupling,1,0.495,0.5575,1.126,2162,5465,2.53,False,False,8.4,19.5
t-PROJ-M-02,project,medium_coupling,0,0.92,0.7481,0.813,2192,8336,3.8,True,False,9.1,32.0
t-PROJ-M-02,project,medium_coupling,1,0.795,0.92,1.157,2349,8322,3.54,True,True,10.2,36.2
