task_id,office_type,task_type,model,seed,Q_single,Q_team,CTR,TR,team_token_overhead
t-CONTENT-H-03,content,high_coupling,deepseek-v4-flash,0,0.92,0.6512,0.7079,4.0601,25016
t-CONTENT-H-03,content,high_coupling,deepseek-v4-flash,1,0.92,0.7137,0.7758,3.3248,20321
t-CONTENT-L-01,content,low_coupling,deepseek-v4-flash,0,0.8184,0.9122,1.1145,2.2159,10581
t-CONTENT-L-01,content,low_coupling,deepseek-v4-flash,1,0.8653,0.8731,1.0090,5.5175,12536
t-CONTENT-M-02,content,medium_coupling,deepseek-v4-flash,0,0.82,0.7144,0.8713,3.7256,5195
t-CONTENT-M-02,content,medium_coupling,deepseek-v4-flash,1,0.92,0.7144,0.7766,2.0247,2154
t-CROSS-H-03,cross_dept,high_coupling,deepseek-v4-flash,0,0.42,0.92,2.1905,1.5557,4950
t-CROSS-H-03,cross_dept,high_coupling,deepseek-v4-flash,1,0.92,0.92,1.0000,1.4861,3958
t-CROSS-L-01,cross_dept,low_coupling,deepseek-v4-flash,0,0.62,0.495,0.7984,2.4048,1565
t-CROSS-L-01,cross_dept,low_coupling,deepseek-v4-flash,1,0.62,0.495,0.7984,2.4446,1498
t-CROSS-M-02,cross_dept,medium_coupling,deepseek-v4-flash,0,0.8054,0.6978,0.8664,2.9078,7618
t-CROSS-M-02,cross_dept,medium_coupling,deepseek-v4-flash,1,0.8054,0.6978,0.8664,3.2131,9118
t-DATA-H-03,data,high_coupling,deepseek-v4-flash,0,0.92,0.92,1.0000,3.5285,12162
t-DATA-H-03,data,high_coupling,deepseek-v4-flash,1,0.92,0.92,1.0000,3.0858,14561
t-DATA-L-01,data,low_coupling,deepseek-v4-flash,0,0.92,0.5367,0.5833,1.1727,1420
t-DATA-L-01,data,low_coupling,deepseek-v4-flash,1,0.7533,0.5367,0.7124,1.1612,1140
t-DATA-M-02,data,medium_coupling,deepseek-v4-flash,0,0.8137,0.8137,1.0000,1.6852,1465
t-DATA-M-02,data,medium_coupling,deepseek-v4-flash,1,0.8137,0.9137,1.1229,2.1863,2573
t-DOC-H-03,document,high_coupling,deepseek-v4-flash,0,0.8932,0.7771,0.8701,3.2029,10935
t-DOC-H-03,document,high_coupling,deepseek-v4-flash,1,0.7504,0.42,0.5597,3.0476,18111
t-DOC-L-01,document,low_coupling,deepseek-v4-flash,0,0.92,0.92,1.0000,2.3985,5352
t-DOC-L-01,document,low_coupling,deepseek-v4-flash,1,0.92,0.92,1.0000,2.1199,5426
t-DOC-M-02,document,medium_coupling,deepseek-v4-flash,0,0.92,0.7325,0.7962,5.9899,18747
t-DOC-M-02,document,medium_coupling,deepseek-v4-flash,1,0.92,0.7325,0.7962,7.9699,15494
t-PROJ-H-03,project,high_coupling,deepseek-v4-flash,0,0.42,0.42,1.0000,3.9268,27196
t-PROJ-H-03,project,high_coupling,deepseek-v4-flash,1,0.42,0.42,1.0000,2.3563,12603
t-PROJ-L-01,project,low_coupling,deepseek-v4-flash,0,0.5575,0.6096,1.0934,2.2878,2667
t-PROJ-L-01,project,low_coupling,deepseek-v4-flash,1,0.495,0.5575,1.1263,2.5278,3303
t-PROJ-M-02,project,medium_coupling,deepseek-v4-flash,0,0.92,0.7481,0.8132,3.8029,6144
t-PROJ-M-02,project,medium_coupling,deepseek-v4-flash,1,0.795,0.92,1.1572,3.5428,5973
