task_id,office_type,task_type,model,seed,Q_single,Q_team,CTR,TR,team_token_overhead
t-CONTENT-H-03,content,high_coupling,deepseek-v4-flash,0,0.92,0.72,0.7826,3.4241,12181
t-CONTENT-H-03,content,high_coupling,deepseek-v4-flash,1,0.92,0.5513,0.5992,1.8632,6801
t-CONTENT-L-01,content,low_coupling,deepseek-v4-flash,0,0.8184,0.92,1.1241,0.8335,-1222
t-CONTENT-L-01,content,low_coupling,deepseek-v4-flash,1,0.8653,0.9122,1.0542,1.2797,2766
t-CONTENT-M-02,content,medium_coupling,deepseek-v4-flash,0,0.82,0.6825,0.8323,0.9035,-544
t-CONTENT-M-02,content,medium_coupling,deepseek-v4-flash,1,0.92,0.7832,0.8513,0.7988,-1286
t-CROSS-H-03,cross_dept,high_coupling,deepseek-v4-flash,0,0.92,0.8731,0.9490,4.8141,15081
t-CROSS-H-03,cross_dept,high_coupling,deepseek-v4-flash,1,0.92,0.795,0.8641,2.9301,13038
t-CROSS-L-01,cross_dept,low_coupling,deepseek-v4-flash,0,0.62,0.495,0.7984,1.5089,715
t-CROSS-L-01,cross_dept,low_coupling,deepseek-v4-flash,1,0.62,0.495,0.7984,1.7266,1095
t-CROSS-M-02,cross_dept,medium_coupling,deepseek-v4-flash,0,0.8054,0.8054,1.0000,1.2425,1136
t-CROSS-M-02,cross_dept,medium_coupling,deepseek-v4-flash,1,0.8436,0.7881,0.9341,2.5378,3394
t-DATA-H-03,data,high_coupling,deepseek-v4-flash,0,0.92,0.92,1.0000,1.9483,6495
t-DATA-H-03,data,high_coupling,deepseek-v4-flash,1,0.92,0.92,1.0000,3.6429,13492
t-DATA-L-01,data,low_coupling,deepseek-v4-flash,0,0.92,0.5158,0.5607,0.6936,-3338
t-DATA-L-01,data,low_coupling,deepseek-v4-flash,1,0.92,0.37,0.4022,0.8854,-971
t-DATA-M-02,data,medium_coupling,deepseek-v4-flash,0,0.8137,0.8012,0.9846,1.4260,1175
t-DATA-M-02,data,medium_coupling,deepseek-v4-flash,1,0.8137,0.8137,1.0000,1.2371,1118
t-DOC-H-03,document,high_coupling,deepseek-v4-flash,0,0.9155,0.8486,0.9269,3.6230,10652
t-DOC-H-03,document,high_coupling,deepseek-v4-flash,1,0.8932,0.8843,0.9900,2.3294,7882
t-DOC-L-01,document,low_coupling,deepseek-v4-flash,0,0.92,0.92,1.0000,1.8283,3097
t-DOC-L-01,document,low_coupling,deepseek-v4-flash,1,0.92,0.92,1.0000,1.6335,2778
t-DOC-M-02,document,medium_coupling,deepseek-v4-flash,0,0.8536,0.6661,0.7803,1.8178,5638
t-DOC-M-02,document,medium_coupling,deepseek-v4-flash,1,0.8341,0.6075,0.7284,2.7581,6542
t-PROJ-H-03,project,high_coupling,deepseek-v4-flash,0,0.6658,0.6658,1.0000,1.3962,6942
t-PROJ-H-03,project,high_coupling,deepseek-v4-flash,1,0.8658,0.5825,0.6728,2.2446,12910
t-PROJ-L-01,project,low_coupling,deepseek-v4-flash,0,0.5471,0.495,0.9048,1.7012,1908
t-PROJ-L-01,project,low_coupling,deepseek-v4-flash,1,0.5575,0.5575,1.0000,2.2579,2624
t-PROJ-M-02,project,medium_coupling,deepseek-v4-flash,0,0.92,0.9122,0.9915,1.1817,1418
t-PROJ-M-02,project,medium_coupling,deepseek-v4-flash,1,0.795,0.795,1.0000,3.9389,8179
