task_id,office_type,task_type,seed,Q_s,Q_t,CTR,tok_s,tok_t,tok_ratio,TMS_s,TMS_t,time_s,time_t
t-CONTENT-H-03,content,high_coupling,0,0.92,0.72,0.783,5025,17206,3.42,True,False,34.5,91.5
t-CONTENT-H-03,content,high_coupling,1,0.92,0.5513,0.599,7879,14680,1.86,True,False,57.8,73.0
t-CONTENT-L-01,content,low_coupling,0,0.8184,0.92,1.124,7341,6119,0.83,True,True,60.3,30.9
t-CONTENT-L-01,content,low_coupling,1,0.8653,0.9122,1.054,9889,12655,1.28,True,True,95.3,80.1
t-CONTENT-M-02,content,medium_coupling,0,0.82,0.6825,0.832,5637,5093,0.9,True,False,52.5,31.6
t-CONTENT-M-02,content,medium_coupling,1,0.92,0.7832,0.851,6391,5105,0.8,True,True,54.7,27.1
t-CROSS-H-03,cross_dept,high_coupling,0,0.92,0.8731,0.949,3954,19035,4.81,True,True,28.8,121.9
t-CROSS-H-03,cross_dept,high_coupling,1,0.92,0.795,0.864,6755,19793,2.93,True,False,55.7,129.8
t-CROSS-L-01,cross_dept,low_coupling,0,0.62,0.495,0.798,1405,2120,1.51,False,False,6.9,4.7
t-CROSS-L-01,cross_dept,low_coupling,1,0.62,0.495,0.798,1507,2602,1.73,False,False,6.8,9.1
t-CROSS-M-02,cross_dept,medium_coupling,0,0.8054,0.8054,1.0,4685,5821,1.24,True,False,34.3,28.5
t-CROSS-M-02,cross_dept,medium_coupling,1,0.8436,0.7881,0.934,2207,5601,2.54,True,True,15.2,26.7
t-DATA-H-03,data,high_coupling,0,0.92,0.92,1.0,6849,13344,1.95,True,True,21.0,17.7
t-DATA-H-03,data,high_coupling,1,0.92,0.92,1.0,5105,18597,3.64,True,True,9.1,56.9
t-DATA-L-01,data,low_coupling,0,0.92,0.5158,0.561,10894,7556,0.69,True,False,55.0,19.1
t-DATA-L-01,data,low_coupling,1,0.92,0.37,0.402,8472,7501,0.89,True,False,46.0,18.9
t-DATA-M-02,data,medium_coupling,0,0.8137,0.8012,0.985,2758,3933,1.43,True,True,22.7,17.0
t-DATA-M-02,data,medium_coupling,1,0.8137,0.8137,1.0,4716,5834,1.24,True,True,39.6,35.1
t-DOC-H-03,document,high_coupling,0,0.9155,0.8486,0.927,4061,14713,3.62,True,True,32.1,61.7
t-DOC-H-03,document,high_coupling,1,0.8932,0.8843,0.99,5929,13811,2.33,True,True,46.9,69.3
t-DOC-L-01,document,low_coupling,0,0.92,0.92,1.0,3739,6836,1.83,True,True,20.9,27.9
t-DOC-L-01,document,low_coupling,1,0.92,0.92,1.0,4385,7163,1.63,True,True,28.8,28.0
t-DOC-M-02,document,medium_coupling,0,0.8536,0.6661,0.78,6894,12532,1.82,True,True,57.8,72.6
t-DOC-M-02,document,medium_coupling,1,0.8341,0.6075,0.728,3721,10263,2.76,True,False,33.9,69.3
t-PROJ-H-03,project,high_coupling,0,0.6658,0.6658,1.0,17523,24465,1.4,True,True,121.3,134.4
t-PROJ-H-03,project,high_coupling,1,0.8658,0.5825,0.673,10373,23283,2.24,True,False,63.7,127.3
t-PROJ-L-01,project,low_coupling,0,0.5471,0.495,0.905,2721,4629,1.7,False,False,14.5,10.8
t-PROJ-L-01,project,low_coupling,1,0.5575,0.5575,1.0,2086,4710,2.26,False,False,8.8,10.9
t-PROJ-M-02,project,medium_coupling,0,0.92,0.9122,0.992,7805,9223,1.18,True,True,50.3,38.2
t-PROJ-M-02,project,medium_coupling,1,0.795,0.795,1.0,2783,10962,3.94,True,False,13.2,50.7
