task_id,office_type,task_type,model,seed,Q_single,Q_team,CTR,TR,team_token_overhead
t-CONTENT-H-03,content,high_coupling,deepseek-v4-flash,0,0.92,0.7169,0.7792,3.7396,19588
t-CONTENT-H-03,content,high_coupling,deepseek-v4-flash,1,0.82,0.7137,0.8704,4.9739,18908
t-CONTENT-L-01,content,low_coupling,deepseek-v4-flash,0,0.9122,0.92,1.0086,1.0610,728
t-CONTENT-L-01,content,low_coupling,deepseek-v4-flash,1,0.9122,0.9122,1.0000,1.3248,3070
t-CONTENT-M-02,content,medium_coupling,deepseek-v4-flash,0,0.82,0.7137,0.8704,1.0295,268
t-CONTENT-M-02,content,medium_coupling,deepseek-v4-flash,1,0.72,0.82,1.1389,1.1755,1682
t-CROSS-H-03,cross_dept,high_coupling,deepseek-v4-flash,0,0.92,0.92,1.0000,2.4234,13337
t-CROSS-H-03,cross_dept,high_coupling,deepseek-v4-flash,1,0.92,0.8992,0.9774,2.9842,16459
t-CROSS-L-01,cross_dept,low_coupling,deepseek-v4-flash,0,0.62,0.5575,0.8992,3.8311,6302
t-CROSS-L-01,cross_dept,low_coupling,deepseek-v4-flash,1,0.92,0.5575,0.6060,1.1103,543
t-CROSS-M-02,cross_dept,medium_coupling,deepseek-v4-flash,0,0.7881,0.729,0.9251,2.2718,6321
t-CROSS-M-02,cross_dept,medium_coupling,deepseek-v4-flash,1,0.8054,0.6943,0.8620,1.2637,2031
t-DATA-H-03,data,high_coupling,deepseek-v4-flash,0,0.92,0.92,1.0000,4.3809,17263
t-DATA-H-03,data,high_coupling,deepseek-v4-flash,1,0.92,0.92,1.0000,3.7007,12453
t-DATA-L-01,data,low_coupling,deepseek-v4-flash,0,0.7533,0.62,0.8230,0.7470,-2735
t-DATA-L-01,data,low_coupling,deepseek-v4-flash,1,0.8367,0.62,0.7410,1.5939,7473
t-DATA-M-02,data,medium_coupling,deepseek-v4-flash,0,0.92,0.92,1.0000,0.6616,-2918
t-DATA-M-02,data,medium_coupling,deepseek-v4-flash,1,0.8137,0.9137,1.1229,1.6076,2321
t-DOC-H-03,document,high_coupling,deepseek-v4-flash,0,0.8575,0.92,1.0729,3.9596,20069
t-DOC-H-03,document,high_coupling,deepseek-v4-flash,1,0.92,0.92,1.0000,6.3444,20624
t-DOC-L-01,document,low_coupling,deepseek-v4-flash,0,0.92,0.92,1.0000,5.4873,10599
t-DOC-L-01,document,low_coupling,deepseek-v4-flash,1,0.92,0.92,1.0000,1.1415,1451
t-DOC-M-02,document,medium_coupling,deepseek-v4-flash,0,0.8575,0.7325,0.8542,2.4815,8868
t-DOC-M-02,document,medium_coupling,deepseek-v4-flash,1,0.8536,0.7286,0.8536,3.3468,13107
t-PROJ-H-03,project,high_coupling,deepseek-v4-flash,0,0.7137,0.8825,1.2364,0.8977,-3117
t-PROJ-H-03,project,high_coupling,deepseek-v4-flash,1,0.9137,0.8825,0.9658,1.3903,8066
t-PROJ-L-01,project,low_coupling,deepseek-v4-flash,0,0.6096,0.62,1.0171,0.6955,-2853
t-PROJ-L-01,project,low_coupling,deepseek-v4-flash,1,0.5575,0.62,1.1121,1.5245,3029
t-PROJ-M-02,project,medium_coupling,deepseek-v4-flash,0,0.92,0.9044,0.9830,2.2055,6617
t-PROJ-M-02,project,medium_coupling,deepseek-v4-flash,1,0.92,0.8731,0.9490,1.7472,4980
