task_id,office_type,task_type,seed,Q_s,Q_t,CTR,tok_s,tok_t,tok_ratio,TMS_s,TMS_t,time_s,time_t
t-CONTENT-H-03,content,high_coupling,0,0.92,0.7169,0.779,7150,26738,3.74,True,False,56.8,152.1
t-CONTENT-H-03,content,high_coupling,1,0.82,0.7137,0.87,4758,23666,4.97,True,True,40.9,99.8
t-CONTENT-L-01,content,low_coupling,0,0.9122,0.92,1.009,11942,12670,1.06,True,True,94.7,68.4
t-CONTENT-L-01,content,low_coupling,1,0.9122,0.9122,1.0,9452,12522,1.32,True,True,81.3,75.6
t-CONTENT-M-02,content,medium_coupling,0,0.82,0.7137,0.87,9075,9343,1.03,True,False,81.7,48.0
t-CONTENT-M-02,content,medium_coupling,1,0.72,0.82,1.139,9583,11265,1.18,True,True,79.4,65.9
t-CROSS-H-03,cross_dept,high_coupling,0,0.92,0.92,1.0,9370,22707,2.42,True,True,73.1,144.8
t-CROSS-H-03,cross_dept,high_coupling,1,0.92,0.8992,0.977,8295,24754,2.98,True,True,59.1,165.9
t-CROSS-L-01,cross_dept,low_coupling,0,0.62,0.5575,0.899,2226,8528,3.83,False,False,14.0,38.5
t-CROSS-L-01,cross_dept,low_coupling,1,0.92,0.5575,0.606,4923,5466,1.11,True,False,36.4,20.9
t-CROSS-M-02,cross_dept,medium_coupling,0,0.7881,0.729,0.925,4970,11291,2.27,True,True,42.8,58.1
t-CROSS-M-02,cross_dept,medium_coupling,1,0.8054,0.6943,0.862,7703,9734,1.26,True,False,59.5,54.1
t-DATA-H-03,data,high_coupling,0,0.92,0.92,1.0,5106,22369,4.38,True,True,10.0,70.1
t-DATA-H-03,data,high_coupling,1,0.92,0.92,1.0,4611,17064,3.7,True,True,6.1,42.6
t-DATA-L-01,data,low_coupling,0,0.7533,0.62,0.823,10810,8075,0.75,True,False,58.5,19.9
t-DATA-L-01,data,low_coupling,1,0.8367,0.62,0.741,12583,20056,1.59,True,False,51.6,108.8
t-DATA-M-02,data,medium_coupling,0,0.92,0.92,1.0,8624,5706,0.66,True,True,72.0,25.7
t-DATA-M-02,data,medium_coupling,1,0.8137,0.9137,1.123,3820,6141,1.61,True,True,31.2,33.6
t-DOC-H-03,document,high_coupling,0,0.8575,0.92,1.073,6781,26850,3.96,True,True,47.6,137.2
t-DOC-H-03,document,high_coupling,1,0.92,0.92,1.0,3859,24483,6.34,True,True,27.9,119.4
t-DOC-L-01,document,low_coupling,0,0.92,0.92,1.0,2362,12961,5.49,True,True,11.4,59.2
t-DOC-L-01,document,low_coupling,1,0.92,0.92,1.0,10253,11704,1.14,True,True,67.8,55.5
t-DOC-M-02,document,medium_coupling,0,0.8575,0.7325,0.854,5986,14854,2.48,True,True,51.8,89.0
t-DOC-M-02,document,medium_coupling,1,0.8536,0.7286,0.854,5585,18692,3.35,True,True,45.1,116.3
t-PROJ-H-03,project,high_coupling,0,0.7137,0.8825,1.237,30455,27338,0.9,True,True,203.8,131.2
t-PROJ-H-03,project,high_coupling,1,0.9137,0.8825,0.966,20668,28734,1.39,True,True,138.8,158.8
t-PROJ-L-01,project,low_coupling,0,0.6096,0.62,1.017,9368,6515,0.7,False,False,63.8,24.5
t-PROJ-L-01,project,low_coupling,1,0.5575,0.62,1.112,5775,8804,1.52,False,False,37.8,42.3
t-PROJ-M-02,project,medium_coupling,0,0.92,0.9044,0.983,5489,12106,2.21,True,True,33.6,54.1
t-PROJ-M-02,project,medium_coupling,1,0.92,0.8731,0.949,6665,11645,1.75,True,True,39.4,55.0
