task_id,office_type,task_type,model,seed,Q_single,Q_team,CTR,TR,team_token_overhead
t-CONTENT-H-03,content,high_coupling,deepseek-v4-pro,0,0.92,0.7137,0.7758,4.7276,15037
t-CONTENT-H-03,content,high_coupling,deepseek-v4-pro,1,0.92,0.7169,0.7792,2.3541,10647
t-CONTENT-L-01,content,low_coupling,deepseek-v4-pro,0,0.8263,0.8653,1.0473,5.4704,12678
t-CONTENT-L-01,content,low_coupling,deepseek-v4-pro,1,0.9122,0.7481,0.8201,4.8827,12708
t-CONTENT-M-02,content,medium_coupling,deepseek-v4-pro,0,0.7825,0.8519,1.0887,2.2959,8588
t-CONTENT-M-02,content,medium_coupling,deepseek-v4-pro,1,0.82,0.7832,0.9551,1.8514,6419
t-CROSS-H-03,cross_dept,high_coupling,deepseek-v4-pro,0,0.92,0.8992,0.9774,3.5976,17617
t-CROSS-H-03,cross_dept,high_coupling,deepseek-v4-pro,1,0.92,0.92,1.0000,3.2183,19601
t-CROSS-L-01,cross_dept,low_coupling,deepseek-v4-pro,0,0.62,0.5575,0.8992,2.5715,4155
t-CROSS-L-01,cross_dept,low_coupling,deepseek-v4-pro,1,0.62,0.62,1.0000,2.0500,5969
t-CROSS-M-02,cross_dept,medium_coupling,deepseek-v4-pro,0,0.7881,0.6978,0.8854,3.1941,12706
t-CROSS-M-02,cross_dept,medium_coupling,deepseek-v4-pro,1,0.861,0.7117,0.8266,2.1054,6913
t-DATA-H-03,data,high_coupling,deepseek-v4-pro,0,0.92,0.92,1.0000,3.0402,15530
t-DATA-H-03,data,high_coupling,deepseek-v4-pro,1,0.92,0.92,1.0000,2.6709,13579
t-DATA-L-01,data,low_coupling,deepseek-v4-pro,0,0.7533,0.62,0.8230,0.8437,-2803
t-DATA-L-01,data,low_coupling,deepseek-v4-pro,1,0.7533,0.4533,0.6018,1.1367,1834
t-DATA-M-02,data,medium_coupling,deepseek-v4-pro,0,0.9137,0.9075,0.9932,3.7443,10066
t-DATA-M-02,data,medium_coupling,deepseek-v4-pro,1,0.9137,0.9075,0.9932,3.2446,10388
t-DOC-H-03,document,high_coupling,deepseek-v4-pro,0,0.9155,0.92,1.0049,3.8231,21746
t-DOC-H-03,document,high_coupling,deepseek-v4-pro,1,0.9155,0.92,1.0049,4.3085,26107
t-DOC-L-01,document,low_coupling,deepseek-v4-pro,0,0.92,0.92,1.0000,4.3859,11712
t-DOC-L-01,document,low_coupling,deepseek-v4-pro,1,0.92,0.92,1.0000,2.3711,8261
t-DOC-M-02,document,medium_coupling,deepseek-v4-pro,0,0.8575,0.6075,0.7085,3.5516,12643
t-DOC-M-02,document,medium_coupling,deepseek-v4-pro,1,0.8341,0.67,0.8033,2.3591,10424
t-PROJ-H-03,project,high_coupling,deepseek-v4-pro,0,0.8658,0.9137,1.0553,3.1837,25730
t-PROJ-H-03,project,high_coupling,deepseek-v4-pro,1,0.8283,0.9137,1.1031,1.9457,19231
t-PROJ-L-01,project,low_coupling,deepseek-v4-pro,0,0.62,0.62,1.0000,4.5302,16673
t-PROJ-L-01,project,low_coupling,deepseek-v4-pro,1,0.5992,0.62,1.0348,2.7299,8800
t-PROJ-M-02,project,medium_coupling,deepseek-v4-pro,0,0.795,0.795,1.0000,2.6689,10853
t-PROJ-M-02,project,medium_coupling,deepseek-v4-pro,1,0.795,0.795,1.0000,2.3445,12411
