task_id,office_type,task_type,seed,Q_s,Q_t,CTR,tok_s,tok_t,tok_ratio,TMS_s,TMS_t,time_s,time_t
t-CONTENT-H-03,content,high_coupling,0,0.92,0.7137,0.776,4034,19071,4.73,True,False,61.3,200.8
t-CONTENT-H-03,content,high_coupling,1,0.92,0.7169,0.779,7863,18510,2.35,True,False,112.0,159.9
t-CONTENT-L-01,content,low_coupling,0,0.8263,0.8653,1.047,2836,15514,5.47,True,True,42.5,169.2
t-CONTENT-L-01,content,low_coupling,1,0.9122,0.7481,0.82,3273,15981,4.88,True,False,50.1,181.2
t-CONTENT-M-02,content,medium_coupling,0,0.7825,0.8519,1.089,6627,15215,2.3,True,True,100.6,181.5
t-CONTENT-M-02,content,medium_coupling,1,0.82,0.7832,0.955,7539,13958,1.85,True,True,121.5,182.0
t-CROSS-H-03,cross_dept,high_coupling,0,0.92,0.8992,0.977,6782,24399,3.6,True,True,91.6,266.9
t-CROSS-H-03,cross_dept,high_coupling,1,0.92,0.92,1.0,8836,28437,3.22,True,True,120.8,288.7
t-CROSS-L-01,cross_dept,low_coupling,0,0.62,0.5575,0.899,2644,6799,2.57,False,False,28.6,64.0
t-CROSS-L-01,cross_dept,low_coupling,1,0.62,0.62,1.0,5685,11654,2.05,False,False,76.2,128.5
t-CROSS-M-02,cross_dept,medium_coupling,0,0.7881,0.6978,0.885,5791,18497,3.19,True,False,88.0,225.9
t-CROSS-M-02,cross_dept,medium_coupling,1,0.861,0.7117,0.827,6254,13167,2.11,True,True,88.2,131.9
t-DATA-H-03,data,high_coupling,0,0.92,0.92,1.0,7612,23142,3.04,True,True,53.2,133.6
t-DATA-H-03,data,high_coupling,1,0.92,0.92,1.0,8127,21706,2.67,True,True,58.6,111.6
t-DATA-L-01,data,low_coupling,0,0.7533,0.62,0.823,17932,15129,0.84,True,False,187.3,117.3
t-DATA-L-01,data,low_coupling,1,0.7533,0.4533,0.602,13415,15249,1.14,True,False,124.0,120.4
t-DATA-M-02,data,medium_coupling,0,0.9137,0.9075,0.993,3668,13734,3.74,True,True,51.6,144.9
t-DATA-M-02,data,medium_coupling,1,0.9137,0.9075,0.993,4628,15016,3.24,True,True,66.5,149.0
t-DOC-H-03,document,high_coupling,0,0.9155,0.92,1.005,7703,29449,3.82,True,True,96.5,228.6
t-DOC-H-03,document,high_coupling,1,0.9155,0.92,1.005,7891,33998,4.31,True,True,85.6,334.0
t-DOC-L-01,document,low_coupling,0,0.92,0.92,1.0,3459,15171,4.39,True,True,27.4,118.3
t-DOC-L-01,document,low_coupling,1,0.92,0.92,1.0,6025,14286,2.37,True,True,54.1,106.0
t-DOC-M-02,document,medium_coupling,0,0.8575,0.6075,0.708,4955,17598,3.55,True,False,63.5,169.3
t-DOC-M-02,document,medium_coupling,1,0.8341,0.67,0.803,7670,18094,2.36,True,True,85.6,176.7
t-PROJ-H-03,project,high_coupling,0,0.8658,0.9137,1.055,11783,37513,3.18,True,True,114.8,301.3
t-PROJ-H-03,project,high_coupling,1,0.8283,0.9137,1.103,20335,39566,1.95,True,True,210.1,296.3
t-PROJ-L-01,project,low_coupling,0,0.62,0.62,1.0,4723,21396,4.53,False,False,49.1,180.4
t-PROJ-L-01,project,low_coupling,1,0.5992,0.62,1.035,5087,13887,2.73,False,False,50.0,96.8
t-PROJ-M-02,project,medium_coupling,0,0.795,0.795,1.0,6503,17356,2.67,True,False,60.1,147.5
t-PROJ-M-02,project,medium_coupling,1,0.795,0.795,1.0,9231,21642,2.34,True,False,101.1,201.2
