task_id,office_type,task_type,model,seed,Q_single,Q_team,CTR,TR,team_token_overhead
t-CONTENT-H-03,content,high_coupling,kimi-k3,0,0.92,0.7137,0.7758,5.1449,17367
t-CONTENT-H-03,content,high_coupling,kimi-k3,1,0.92,0.72,0.7826,4.5255,18777
t-CONTENT-L-01,content,low_coupling,kimi-k3,0,0.9122,0.9122,1.0000,2.0623,6396
t-CONTENT-L-01,content,low_coupling,kimi-k3,1,0.92,0.92,1.0000,2.3066,7156
t-CONTENT-M-02,content,medium_coupling,kimi-k3,0,0.82,0.9137,1.1143,3.4535,9289
t-CONTENT-M-02,content,medium_coupling,kimi-k3,1,0.92,0.9137,0.9932,3.0151,6422
t-CROSS-H-03,cross_dept,high_coupling,kimi-k3,0,0.92,0.92,1.0000,4.1625,18026
t-CROSS-H-03,cross_dept,high_coupling,kimi-k3,1,0.92,0.92,1.0000,4.7424,17649
t-CROSS-L-01,cross_dept,low_coupling,kimi-k3,0,0.62,0.62,1.0000,1.1401,512
t-CROSS-L-01,cross_dept,low_coupling,kimi-k3,1,0.92,0.62,0.6739,1.8462,2548
t-CROSS-M-02,cross_dept,medium_coupling,kimi-k3,0,0.861,0.7846,0.9113,3.1511,5055
t-CROSS-M-02,cross_dept,medium_coupling,kimi-k3,1,0.8436,0.7325,0.8683,3.7139,8557
t-DATA-H-03,data,high_coupling,kimi-k3,0,0.92,0.92,1.0000,3.3958,13287
t-DATA-H-03,data,high_coupling,kimi-k3,1,0.92,0.92,1.0000,3.2186,15195
t-DATA-L-01,data,low_coupling,kimi-k3,0,0.92,0.62,0.6739,1.1181,812
t-DATA-L-01,data,low_coupling,kimi-k3,1,0.92,0.62,0.6739,1.3509,2384
t-DATA-M-02,data,medium_coupling,kimi-k3,0,0.8137,0.9137,1.1229,3.6025,6967
t-DATA-M-02,data,medium_coupling,kimi-k3,1,0.9137,0.9075,0.9932,4.0330,6988
t-DOC-H-03,document,high_coupling,kimi-k3,0,0.7771,0.92,1.1838,4.7754,20678
t-DOC-H-03,document,high_coupling,kimi-k3,1,0.92,0.9155,0.9951,4.2621,20770
t-DOC-L-01,document,low_coupling,kimi-k3,0,0.92,0.92,1.0000,3.1267,10627
t-DOC-L-01,document,low_coupling,kimi-k3,1,0.92,0.92,1.0000,3.3177,9454
t-DOC-M-02,document,medium_coupling,kimi-k3,0,0.8575,0.7325,0.8542,4.7236,12623
t-DOC-M-02,document,medium_coupling,kimi-k3,1,0.8575,0.7091,0.8269,5.8853,17040
t-PROJ-H-03,project,high_coupling,kimi-k3,0,0.42,0.9137,2.1756,NA,25862
t-PROJ-H-03,project,high_coupling,kimi-k3,1,0.9137,0.9137,1.0000,4.4243,18796
t-PROJ-L-01,project,low_coupling,kimi-k3,0,0.5471,0.62,1.1333,3.5385,6793
t-PROJ-L-01,project,low_coupling,kimi-k3,1,0.6096,0.6096,1.0000,2.8394,6541
t-PROJ-M-02,project,medium_coupling,kimi-k3,0,0.92,0.9044,0.9830,4.5314,13066
t-PROJ-M-02,project,medium_coupling,kimi-k3,1,0.92,0.92,1.0000,3.1474,11454
