task_id,office_type,task_type,seed,Q_s,Q_t,CTR,tok_s,tok_t,tok_ratio,TMS_s,TMS_t,time_s,time_t
t-CONTENT-H-03,content,high_coupling,0,0.92,0.7137,0.776,4190,21557,5.14,True,True,114.2,390.6
t-CONTENT-H-03,content,high_coupling,1,0.92,0.72,0.783,5326,24103,4.53,True,True,326.5,420.2
t-CONTENT-L-01,content,low_coupling,0,0.9122,0.9122,1.0,6021,12417,2.06,True,True,157.5,240.7
t-CONTENT-L-01,content,low_coupling,1,0.92,0.92,1.0,5477,12633,2.31,True,True,147.9,238.1
t-CONTENT-M-02,content,medium_coupling,0,0.82,0.9137,1.114,3786,13075,3.45,True,True,102.3,323.9
t-CONTENT-M-02,content,medium_coupling,1,0.92,0.9137,0.993,3187,9609,3.02,True,True,95.0,208.2
t-CROSS-H-03,cross_dept,high_coupling,0,0.92,0.92,1.0,5700,23726,4.16,True,True,138.5,970.4
t-CROSS-H-03,cross_dept,high_coupling,1,0.92,0.92,1.0,4716,22365,4.74,True,True,123.4,754.4
t-CROSS-L-01,cross_dept,low_coupling,0,0.62,0.62,1.0,3655,4167,1.14,False,False,81.8,57.6
t-CROSS-L-01,cross_dept,low_coupling,1,0.92,0.62,0.674,3011,5559,1.85,True,False,63.8,86.0
t-CROSS-M-02,cross_dept,medium_coupling,0,0.861,0.7846,0.911,2350,7405,3.15,True,True,52.6,143.7
t-CROSS-M-02,cross_dept,medium_coupling,1,0.8436,0.7325,0.868,3153,11710,3.71,True,True,75.6,206.6
t-DATA-H-03,data,high_coupling,0,0.92,0.92,1.0,5546,18833,3.4,True,True,64.7,169.5
t-DATA-H-03,data,high_coupling,1,0.92,0.92,1.0,6849,22044,3.22,True,True,102.9,274.1
t-DATA-L-01,data,low_coupling,0,0.92,0.62,0.674,6873,7685,1.12,True,False,118.6,71.6
t-DATA-L-01,data,low_coupling,1,0.92,0.62,0.674,6793,9177,1.35,True,False,295.9,95.1
t-DATA-M-02,data,medium_coupling,0,0.8137,0.9137,1.123,2677,9644,3.6,True,True,63.8,139.1
t-DATA-M-02,data,medium_coupling,1,0.9137,0.9075,0.993,2304,9292,4.03,True,True,59.0,132.6
t-DOC-H-03,document,high_coupling,0,0.7771,0.92,1.184,5477,26155,4.78,True,True,147.9,437.8
t-DOC-H-03,document,high_coupling,1,0.92,0.9155,0.995,6367,27137,4.26,True,True,170.7,427.2
t-DOC-L-01,document,low_coupling,0,0.92,0.92,1.0,4997,15624,3.13,True,True,103.3,257.1
t-DOC-L-01,document,low_coupling,1,0.92,0.92,1.0,4079,13533,3.32,True,True,93.5,192.6
t-DOC-M-02,document,medium_coupling,0,0.8575,0.7325,0.854,3390,16013,4.72,True,True,106.7,292.8
t-DOC-M-02,document,medium_coupling,1,0.8575,0.7091,0.827,3488,20528,5.89,True,True,117.6,400.3
t-PROJ-H-03,project,high_coupling,0,0.42,0.9137,2.175,0,25862,0,False,True,723.3,688.6
t-PROJ-H-03,project,high_coupling,1,0.9137,0.9137,1.0,5489,24285,4.42,True,True,319.4,317.5
t-PROJ-L-01,project,low_coupling,0,0.5471,0.62,1.133,2676,9469,3.54,False,False,62.5,120.6
t-PROJ-L-01,project,low_coupling,1,0.6096,0.6096,1.0,3556,10097,2.84,False,False,88.4,126.1
t-PROJ-M-02,project,medium_coupling,0,0.92,0.9044,0.983,3700,16766,4.53,True,True,72.5,250.5
t-PROJ-M-02,project,medium_coupling,1,0.92,0.92,1.0,5334,16788,3.15,True,True,121.9,261.0
