task_id,office_type,task_type,mode,model,seed,Q,TMS,prompt_tokens,completion_tokens,total_tokens,cached_tokens,elapsed,llm_calls,error
t-CONTENT-H-03,content,high_coupling,single,kimi-k2.6,0,0.92,True,497,8026,8523,0,155.59,1,""
t-CONTENT-H-03,content,high_coupling,single,kimi-k2.6,1,0.92,True,497,2832,3329,497,59.72,1,""
t-CONTENT-L-01,content,low_coupling,single,kimi-k2.6,0,0.8653,True,445,4802,5247,0,93.44,1,""
t-CONTENT-L-01,content,low_coupling,single,kimi-k2.6,1,0.7481,False,445,3598,4043,445,65.19,1,""
t-CONTENT-M-02,content,medium_coupling,single,kimi-k2.6,0,0.72,True,332,4138,4470,0,92.3,1,""
t-CONTENT-M-02,content,medium_coupling,single,kimi-k2.6,1,0.72,True,332,2515,2847,332,56.02,1,""
t-CROSS-H-03,cross_dept,high_coupling,single,kimi-k2.6,0,0.92,True,672,6286,6958,0,134.33,1,""
t-CROSS-H-03,cross_dept,high_coupling,single,kimi-k2.6,1,0.8843,True,672,9590,10262,672,223.47,1,""
t-CROSS-L-01,cross_dept,low_coupling,single,kimi-k2.6,0,0.62,False,424,4175,4599,0,80.63,1,""
t-CROSS-L-01,cross_dept,low_coupling,single,kimi-k2.6,1,0.62,False,424,4796,5220,424,99.24,1,""
t-CROSS-M-02,cross_dept,medium_coupling,single,kimi-k2.6,0,0.8089,True,456,5117,5573,0,101.89,1,""
t-CROSS-M-02,cross_dept,medium_coupling,single,kimi-k2.6,1,0.8054,True,456,4639,5095,456,95.23,1,""
t-DATA-H-03,data,high_coupling,single,kimi-k2.6,0,0.92,True,3467,7487,10954,0,177.48,1,""
t-DATA-H-03,data,high_coupling,single,kimi-k2.6,1,0.92,True,3467,4114,7581,2048,110.19,1,""
t-DATA-L-01,data,low_coupling,single,kimi-k2.6,0,0.92,True,2365,10080,12445,2048,816.62,1,""
t-DATA-L-01,data,low_coupling,single,kimi-k2.6,1,0.92,True,2365,9865,12230,2048,830.9,1,""
t-DATA-M-02,data,medium_coupling,single,kimi-k2.6,0,0.82,True,515,4693,5208,0,107.87,1,""
t-DATA-M-02,data,medium_coupling,single,kimi-k2.6,1,0.9137,True,515,4558,5073,515,126.29,1,""
t-DOC-H-03,document,high_coupling,single,kimi-k2.6,0,0.92,True,596,6773,7369,0,168.08,1,""
t-DOC-H-03,document,high_coupling,single,kimi-k2.6,1,0.92,True,596,3436,4032,596,79.19,1,""
t-DOC-L-01,document,low_coupling,single,kimi-k2.6,0,0.92,True,853,5562,6415,0,121.76,1,""
t-DOC-L-01,document,low_coupling,single,kimi-k2.6,1,0.92,True,853,4073,4926,853,88.04,1,""
t-DOC-M-02,document,medium_coupling,single,kimi-k2.6,0,0.8575,True,369,4873,5242,0,123.57,1,""
t-DOC-M-02,document,medium_coupling,single,kimi-k2.6,1,0.8575,True,369,5355,5724,369,123.65,1,""
t-PROJ-H-03,project,high_coupling,single,kimi-k2.6,0,0.8825,True,1045,11140,12185,1024,835.16,1,""
t-PROJ-H-03,project,high_coupling,single,kimi-k2.6,1,0.9137,True,1045,8321,9366,1024,2013.98,1,""
t-PROJ-L-01,project,low_coupling,single,kimi-k2.6,0,0.62,False,895,6060,6955,0,193.39,1,""
t-PROJ-L-01,project,low_coupling,single,kimi-k2.6,1,0.62,False,895,5295,6190,895,153.36,1,""
t-PROJ-M-02,project,medium_coupling,single,kimi-k2.6,0,0.92,True,1235,4354,5589,0,119.32,1,""
t-PROJ-M-02,project,medium_coupling,single,kimi-k2.6,1,0.92,True,1235,4214,5449,1235,115.1,1,""
t-CONTENT-H-03,content,high_coupling,team,kimi-k2.6,0,0.67,False,7543,11829,19372,1280,358.33,4,""
t-CONTENT-H-03,content,high_coupling,team,kimi-k2.6,1,0.5669,False,8333,10632,18965,2946,307.44,4,""
t-CONTENT-L-01,content,low_coupling,team,kimi-k2.6,0,0.9122,True,4444,9427,13871,256,265.67,3,""
t-CONTENT-L-01,content,low_coupling,team,kimi-k2.6,1,0.8653,True,4040,11943,15983,872,329.76,3,""
t-CONTENT-M-02,content,medium_coupling,team,kimi-k2.6,0,0.6658,False,3245,11242,14487,0,324.41,3,""
t-CONTENT-M-02,content,medium_coupling,team,kimi-k2.6,1,0.7971,False,3576,11010,14586,751,295.82,3,""
t-CROSS-H-03,cross_dept,high_coupling,team,kimi-k2.6,0,0.9066,True,12213,16065,28278,1536,466.28,4,""
t-CROSS-H-03,cross_dept,high_coupling,team,kimi-k2.6,1,0.92,True,10545,15639,26184,1059,411.02,4,""
t-CROSS-L-01,cross_dept,low_coupling,team,kimi-k2.6,0,0.6096,False,4268,7455,11723,0,211.85,3,""
t-CROSS-L-01,cross_dept,low_coupling,team,kimi-k2.6,1,0.62,False,4903,10182,15085,857,292.13,3,""
t-CROSS-M-02,cross_dept,medium_coupling,team,kimi-k2.6,0,0.6978,False,3911,8968,12879,0,232.74,3,""
t-CROSS-M-02,cross_dept,medium_coupling,team,kimi-k2.6,1,0.7881,True,3233,5981,9214,628,172.31,3,""
t-DATA-H-03,data,high_coupling,team,kimi-k2.6,0,0.92,True,12776,8488,21264,2048,222.87,3,""
t-DATA-H-03,data,high_coupling,team,kimi-k2.6,1,0.92,True,13809,13929,27738,4096,318.66,3,""
t-DATA-L-01,data,low_coupling,team,kimi-k2.6,0,0.77,True,5326,8491,13817,2048,226.65,2,""
t-DATA-L-01,data,low_coupling,team,kimi-k2.6,1,0.62,False,5451,10913,16364,4096,905.63,2,""
t-DATA-M-02,data,medium_coupling,team,kimi-k2.6,0,0.9075,True,4717,11414,16131,256,334.04,3,""
t-DATA-M-02,data,medium_coupling,team,kimi-k2.6,1,0.92,True,5277,9929,15206,432,279.85,3,""
t-DOC-H-03,document,high_coupling,team,kimi-k2.6,0,0.92,True,9800,15355,25155,3584,489.22,4,""
t-DOC-H-03,document,high_coupling,team,kimi-k2.6,1,0.8843,True,10149,16815,26964,2530,474.98,4,""
t-DOC-L-01,document,low_coupling,team,kimi-k2.6,0,0.92,True,4948,9508,14456,512,250.0,3,""
t-DOC-L-01,document,low_coupling,team,kimi-k2.6,1,0.92,True,5452,10633,16085,1024,289.7,3,""
t-DOC-M-02,document,medium_coupling,team,kimi-k2.6,0,0.7911,True,5388,12673,18061,0,365.7,3,""
t-DOC-M-02,document,medium_coupling,team,kimi-k2.6,1,0.7169,True,6556,11396,17952,538,336.79,3,""
t-PROJ-H-03,project,high_coupling,team,kimi-k2.6,0,0.8971,True,9251,18575,27826,3809,1110.67,4,""
t-PROJ-H-03,project,high_coupling,team,kimi-k2.6,1,0.42,False,7838,16010,23848,1964,2831.41,4,"排期冲突消解员: Request timed out."
t-PROJ-L-01,project,low_coupling,team,kimi-k2.6,0,0.5575,False,4746,6814,11560,512,200.96,3,""
t-PROJ-L-01,project,low_coupling,team,kimi-k2.6,1,0.5575,False,5281,8751,14032,1840,228.17,3,""
t-PROJ-M-02,project,medium_coupling,team,kimi-k2.6,0,0.92,True,6340,12210,18550,1536,351.46,3,""
t-PROJ-M-02,project,medium_coupling,team,kimi-k2.6,1,0.795,False,6016,8772,14788,2180,247.47,3,""
