task_id,office_type,task_type,model,seed,Q_single,Q_team,CTR,TR,team_token_overhead
t-CONTENT-H-03,content,high_coupling,glm-5.3,0,0.92,0.72,0.7826,5.0663,26858
t-CONTENT-H-03,content,high_coupling,glm-5.3,1,0.92,0.7013,0.7622,4.5283,22278
t-CONTENT-L-01,content,low_coupling,glm-5.3,0,0.9122,0.9122,1.0000,1.3097,5586
t-CONTENT-L-01,content,low_coupling,glm-5.3,1,0.8263,0.9122,1.1040,2.8697,16476
t-CONTENT-M-02,content,medium_coupling,glm-5.3,0,0.82,0.9137,1.1143,1.6800,5824
t-CONTENT-M-02,content,medium_coupling,glm-5.3,1,0.82,0.9137,1.1143,2.7289,8961
t-CROSS-H-03,cross_dept,high_coupling,glm-5.3,0,0.92,0.8992,0.9774,3.8099,35098
t-CROSS-H-03,cross_dept,high_coupling,glm-5.3,1,0.92,0.92,1.0000,1.8428,14994
t-CROSS-L-01,cross_dept,low_coupling,glm-5.3,0,0.62,0.62,1.0000,1.8052,3505
t-CROSS-L-01,cross_dept,low_coupling,glm-5.3,1,0.62,0.5575,0.8992,2.3106,4502
t-CROSS-M-02,cross_dept,medium_coupling,glm-5.3,0,0.8436,0.7464,0.8848,2.7042,10941
t-CROSS-M-02,cross_dept,medium_coupling,glm-5.3,1,0.861,0.8019,0.9314,2.1181,7062
t-DATA-H-03,data,high_coupling,glm-5.3,0,0.92,0.92,1.0000,3.3107,15276
t-DATA-H-03,data,high_coupling,glm-5.3,1,0.92,0.92,1.0000,2.7288,14486
t-DATA-L-01,data,low_coupling,glm-5.3,0,0.92,0.62,0.6739,0.7557,-3355
t-DATA-L-01,data,low_coupling,glm-5.3,1,0.8367,0.5367,0.6414,0.5750,-8751
t-DATA-M-02,data,medium_coupling,glm-5.3,0,0.9137,0.9137,1.0000,2.7157,7803
t-DATA-M-02,data,medium_coupling,glm-5.3,1,0.9137,0.92,1.0068,2.7995,7846
t-DOC-H-03,document,high_coupling,glm-5.3,0,0.9155,0.9155,1.0000,4.1126,28079
t-DOC-H-03,document,high_coupling,glm-5.3,1,0.92,0.92,1.0000,3.1985,22871
t-DOC-L-01,document,low_coupling,glm-5.3,0,0.92,0.92,1.0000,4.1462,12698
t-DOC-L-01,document,low_coupling,glm-5.3,1,0.92,0.92,1.0000,3.1670,12352
t-DOC-M-02,document,medium_coupling,glm-5.3,0,0.92,0.6075,0.6603,3.9262,20653
t-DOC-M-02,document,medium_coupling,glm-5.3,1,0.92,0.6466,0.7028,2.1617,11281
t-PROJ-H-03,project,high_coupling,glm-5.3,0,0.9137,0.42,0.4596,3.4093,47822
t-PROJ-H-03,project,high_coupling,glm-5.3,1,0.9137,0.8971,0.9818,1.9845,26477
t-PROJ-L-01,project,low_coupling,glm-5.3,0,0.6096,0.495,0.8120,2.8931,7474
t-PROJ-L-01,project,low_coupling,glm-5.3,1,0.6096,0.62,1.0171,3.1780,9664
t-PROJ-M-02,project,medium_coupling,glm-5.3,0,0.92,0.92,1.0000,2.6265,12835
t-PROJ-M-02,project,medium_coupling,glm-5.3,1,0.92,0.92,1.0000,2.2191,12202
