task_id,office_type,task_type,mode,model,seed,Q,TMS,prompt_tokens,completion_tokens,total_tokens,cached_tokens,elapsed,llm_calls,error
t-CONTENT-H-03,content,high_coupling,single,glm-5.3,0,0.92,True,509,6096,6605,0,97.7,1,""
t-CONTENT-H-03,content,high_coupling,single,glm-5.3,1,0.92,True,509,5805,6314,0,108.61,1,""
t-CONTENT-L-01,content,low_coupling,single,glm-5.3,0,0.9122,True,466,17568,18034,0,215.86,1,""
t-CONTENT-L-01,content,low_coupling,single,glm-5.3,1,0.8263,True,466,8346,8812,0,229.45,1,""
t-CONTENT-M-02,content,medium_coupling,single,glm-5.3,0,0.82,True,342,8223,8565,0,141.21,1,""
t-CONTENT-M-02,content,medium_coupling,single,glm-5.3,1,0.82,True,342,4841,5183,0,83.48,1,""
t-CROSS-H-03,cross_dept,high_coupling,single,glm-5.3,0,0.92,True,679,11812,12491,0,146.6,1,""
t-CROSS-H-03,cross_dept,high_coupling,single,glm-5.3,1,0.92,True,679,17111,17790,0,185.85,1,""
t-CROSS-L-01,cross_dept,low_coupling,single,glm-5.3,0,0.62,False,434,3919,4353,0,54.76,1,""
t-CROSS-L-01,cross_dept,low_coupling,single,glm-5.3,1,0.62,False,434,3001,3435,0,75.57,1,""
t-CROSS-M-02,cross_dept,medium_coupling,single,glm-5.3,0,0.8436,True,465,5955,6420,0,195.8,1,""
t-CROSS-M-02,cross_dept,medium_coupling,single,glm-5.3,1,0.861,True,465,5851,6316,0,73.43,1,""
t-DATA-H-03,data,high_coupling,single,glm-5.3,0,0.92,True,3570,3041,6611,0,33.44,1,""
t-DATA-H-03,data,high_coupling,single,glm-5.3,1,0.92,True,3570,4809,8379,0,61.68,1,""
t-DATA-L-01,data,low_coupling,single,glm-5.3,0,0.92,True,2460,11272,13732,0,135.38,1,""
t-DATA-L-01,data,low_coupling,single,glm-5.3,1,0.8367,True,2460,18130,20590,0,172.75,1,""
t-DATA-M-02,data,medium_coupling,single,glm-5.3,0,0.9137,True,532,4016,4548,0,118.65,1,""
t-DATA-M-02,data,medium_coupling,single,glm-5.3,1,0.9137,True,532,3828,4360,0,98.9,1,""
t-DOC-H-03,document,high_coupling,single,glm-5.3,0,0.9155,True,607,8414,9021,0,103.34,1,""
t-DOC-H-03,document,high_coupling,single,glm-5.3,1,0.92,True,607,9796,10403,0,122.58,1,""
t-DOC-L-01,document,low_coupling,single,glm-5.3,0,0.92,True,878,3158,4036,0,35.09,1,""
t-DOC-L-01,document,low_coupling,single,glm-5.3,1,0.92,True,878,4822,5700,0,53.17,1,""
t-DOC-M-02,document,medium_coupling,single,glm-5.3,0,0.92,True,382,6676,7058,0,185.07,1,""
t-DOC-M-02,document,medium_coupling,single,glm-5.3,1,0.92,True,382,9329,9711,0,120.71,1,""
t-PROJ-H-03,project,high_coupling,single,glm-5.3,0,0.9137,True,1044,18805,19849,0,196.74,1,""
t-PROJ-H-03,project,high_coupling,single,glm-5.3,1,0.9137,True,1044,25851,26895,0,265.78,1,""
t-PROJ-L-01,project,low_coupling,single,glm-5.3,0,0.6096,False,903,3045,3948,0,36.21,1,""
t-PROJ-L-01,project,low_coupling,single,glm-5.3,1,0.6096,False,903,3534,4437,0,41.48,1,""
t-PROJ-M-02,project,medium_coupling,single,glm-5.3,0,0.92,True,1264,6627,7891,0,77.22,1,""
t-PROJ-M-02,project,medium_coupling,single,glm-5.3,1,0.92,True,1264,8745,10009,0,85.99,1,""
t-CONTENT-H-03,content,high_coupling,team,glm-5.3,0,0.72,True,10315,23148,33463,0,306.73,4,""
t-CONTENT-H-03,content,high_coupling,team,glm-5.3,1,0.7013,True,10268,18324,28592,0,304.08,4,""
t-CONTENT-L-01,content,low_coupling,team,glm-5.3,0,0.9122,True,5112,18508,23620,0,239.45,3,""
t-CONTENT-L-01,content,low_coupling,team,glm-5.3,1,0.9122,True,4713,20575,25288,0,264.34,3,""
t-CONTENT-M-02,content,medium_coupling,team,glm-5.3,0,0.9137,True,3425,10964,14389,0,148.39,3,""
t-CONTENT-M-02,content,medium_coupling,team,glm-5.3,1,0.9137,True,3809,10335,14144,0,164.95,3,""
t-CROSS-H-03,cross_dept,high_coupling,team,glm-5.3,0,0.8992,True,11857,35732,47589,0,429.46,4,""
t-CROSS-H-03,cross_dept,high_coupling,team,glm-5.3,1,0.92,True,10375,22409,32784,0,327.49,4,""
t-CROSS-L-01,cross_dept,low_coupling,team,glm-5.3,0,0.62,False,3118,4740,7858,0,64.52,3,""
t-CROSS-L-01,cross_dept,low_coupling,team,glm-5.3,1,0.5575,False,2912,5025,7937,0,98.92,3,""
t-CROSS-M-02,cross_dept,medium_coupling,team,glm-5.3,0,0.7464,True,4407,12954,17361,0,172.49,3,""
t-CROSS-M-02,cross_dept,medium_coupling,team,glm-5.3,1,0.8019,True,4273,9105,13378,0,160.29,3,""
