task_id,office_type,task_type,model,seed,assembly,Q_single,Q_single_matched,Q_team,CTR_naive,CTR_matched,TR,call_ratio,team_token_overhead
t-CONTENT-H-03,content,high_coupling,deepseek-v4-flash,0,blackboard,1.0,1.0,0.8438,0.8438,0.8438,1.2532,4.0,2175
t-CONTENT-H-03,content,high_coupling,deepseek-v4-flash,1,blackboard,1.0,1.0,0.5312,0.5312,0.5312,1.932,4.0,4085
t-CONTENT-H-03,content,high_coupling,deepseek-v4-flash,2,blackboard,1.0,1.0,0.5312,0.5312,0.5312,2.2526,4.0,4285
t-CONTENT-H-03,content,high_coupling,deepseek-v4-flash,0,concat,1.0,1.0,1.0,1.0,1.0,1.1941,4.0,1667
t-CONTENT-H-03,content,high_coupling,deepseek-v4-flash,1,concat,1.0,1.0,1.0,1.0,1.0,2.3345,4.0,5849
t-CONTENT-H-03,content,high_coupling,deepseek-v4-flash,2,concat,1.0,1.0,1.0,1.0,1.0,2.3014,4.0,4452
t-CONTENT-H-03,content,high_coupling,deepseek-v4-flash,0,integrator,1.0,1.0,1.0,1.0,1.0,1.957,5.0,8220
t-CONTENT-H-03,content,high_coupling,deepseek-v4-flash,1,integrator,1.0,1.0,1.0,1.0,1.0,3.8209,5.0,12364
t-CONTENT-H-03,content,high_coupling,deepseek-v4-flash,2,integrator,1.0,1.0,1.0,1.0,1.0,4.4417,5.0,11774
t-CONTENT-H-03,content,high_coupling,deepseek-v4-flash,0,last,1.0,1.0,0.5312,0.5312,0.5312,1.1269,4.0,1090
t-CONTENT-H-03,content,high_coupling,deepseek-v4-flash,1,last,1.0,1.0,0.5312,0.5312,0.5312,2.0988,4.0,4816
t-CONTENT-H-03,content,high_coupling,deepseek-v4-flash,2,last,1.0,1.0,0.5312,0.5312,0.5312,2.5665,4.0,5359
t-CONTENT-L-01,content,low_coupling,deepseek-v4-flash,0,blackboard,0.375,0.375,0.5833,1.5555,1.5555,1.6449,3.0,2165
t-CONTENT-L-01,content,low_coupling,deepseek-v4-flash,1,blackboard,0.375,0.375,0.7917,2.1112,2.1112,1.0437,3.0,405
t-CONTENT-L-01,content,low_coupling,deepseek-v4-flash,2,blackboard,0.375,0.375,0.375,1.0,1.0,0.7703,3.0,-1690
t-CONTENT-L-01,content,low_coupling,deepseek-v4-flash,0,concat,0.375,0.375,0.5833,1.5555,1.5555,2.406,3.0,4720
t-CONTENT-L-01,content,low_coupling,deepseek-v4-flash,1,concat,0.375,0.375,0.7917,2.1112,2.1112,0.85,3.0,-1389
t-CONTENT-L-01,content,low_coupling,deepseek-v4-flash,2,concat,0.375,0.375,0.7917,2.1112,2.1112,0.8066,3.0,-1423
t-CONTENT-L-01,content,low_coupling,deepseek-v4-flash,0,integrator,0.375,0.375,1.0,2.6667,2.6667,4.4063,4.0,11435
t-CONTENT-L-01,content,low_coupling,deepseek-v4-flash,1,integrator,0.375,0.375,0.375,1.0,1.0,1.0517,4.0,479
t-CONTENT-L-01,content,low_coupling,deepseek-v4-flash,2,integrator,0.375,0.375,1.0,2.6667,2.6667,1.2274,4.0,1673
t-CONTENT-L-01,content,low_coupling,deepseek-v4-flash,0,last,0.375,0.375,0.375,1.0,1.0,1.0804,3.0,270
t-CONTENT-L-01,content,low_coupling,deepseek-v4-flash,1,last,0.375,0.375,0.5833,1.5555,1.5555,0.7803,3.0,-2035
t-CONTENT-L-01,content,low_coupling,deepseek-v4-flash,2,last,0.375,0.375,0.375,1.0,1.0,0.9409,3.0,-435
t-CONTENT-M-02,content,medium_coupling,deepseek-v4-flash,0,blackboard,0.375,0.5833,0.375,1.0,0.6429,0.7321,3.0,-1732
t-CONTENT-M-02,content,medium_coupling,deepseek-v4-flash,1,blackboard,0.375,0.375,0.375,1.0,1.0,1.1815,3.0,391
t-CONTENT-M-02,content,medium_coupling,deepseek-v4-flash,2,blackboard,0.375,0.375,0.375,1.0,1.0,1.2672,3.0,504
t-CONTENT-M-02,content,medium_coupling,deepseek-v4-flash,0,concat,0.375,0.5833,0.375,1.0,0.6429,0.4443,3.0,-3593
t-CONTENT-M-02,content,medium_coupling,deepseek-v4-flash,1,concat,0.375,0.375,0.375,1.0,1.0,1.0608,3.0,131
t-CONTENT-M-02,content,medium_coupling,deepseek-v4-flash,2,concat,0.375,0.375,0.375,1.0,1.0,1.1919,3.0,362
t-CONTENT-M-02,content,medium_coupling,deepseek-v4-flash,0,integrator,0.375,0.5833,1.0,2.6667,1.7144,1.0037,4.0,24
t-CONTENT-M-02,content,medium_coupling,deepseek-v4-flash,1,integrator,0.375,0.375,1.0,2.6667,2.6667,2.338,4.0,2882
t-CONTENT-M-02,content,medium_coupling,deepseek-v4-flash,2,integrator,0.375,0.375,1.0,2.6667,2.6667,2.7248,4.0,3253
t-CONTENT-M-02,content,medium_coupling,deepseek-v4-flash,0,last,0.375,0.5833,0.375,1.0,0.6429,0.3693,3.0,-4078
t-CONTENT-M-02,content,medium_coupling,deepseek-v4-flash,1,last,0.375,0.375,0.375,1.0,1.0,1.2191,3.0,472
t-CONTENT-M-02,content,medium_coupling,deepseek-v4-flash,2,last,0.375,0.375,0.375,1.0,1.0,1.2831,3.0,534
t-CROSS-H-03,cross_dept,high_coupling,deepseek-v4-flash,0,blackboard,0.375,0.375,0.375,1.0,1.0,0.9455,4.0,-420
t-CROSS-H-03,cross_dept,high_coupling,deepseek-v4-flash,1,blackboard,0.5833,0.5833,0.375,0.6429,0.6429,1.1938,4.0,1656
t-CROSS-H-03,cross_dept,high_coupling,deepseek-v4-flash,2,blackboard,0.5833,0.375,0.375,0.6429,1.0,1.2746,4.0,1778
t-CROSS-H-03,cross_dept,high_coupling,deepseek-v4-flash,0,concat,0.375,0.375,0.375,1.0,1.0,1.1026,4.0,791
t-CROSS-H-03,cross_dept,high_coupling,deepseek-v4-flash,1,concat,0.5833,0.5833,0.375,0.6429,0.6429,1.4636,4.0,3962
t-CROSS-H-03,cross_dept,high_coupling,deepseek-v4-flash,2,concat,0.5833,0.375,0.375,0.6429,1.0,1.2533,4.0,1640
t-CROSS-H-03,cross_dept,high_coupling,deepseek-v4-flash,0,integrator,0.375,0.375,1.0,2.6667,2.6667,1.2463,5.0,1899
t-CROSS-H-03,cross_dept,high_coupling,deepseek-v4-flash,1,integrator,0.5833,0.5833,1.0,1.7144,1.7144,1.5631,5.0,4813
t-CROSS-H-03,cross_dept,high_coupling,deepseek-v4-flash,2,integrator,0.5833,0.375,1.0,1.7144,2.6667,1.4713,5.0,3051
t-CROSS-H-03,cross_dept,high_coupling,deepseek-v4-flash,0,last,0.375,0.375,0.375,1.0,1.0,0.8594,4.0,-1084
t-CROSS-H-03,cross_dept,high_coupling,deepseek-v4-flash,1,last,0.5833,0.5833,0.375,0.6429,0.6429,0.7551,4.0,-2093
t-CROSS-H-03,cross_dept,high_coupling,deepseek-v4-flash,2,last,0.5833,0.375,0.375,0.6429,1.0,1.2553,4.0,1653
t-CROSS-L-01,cross_dept,low_coupling,deepseek-v4-flash,0,blackboard,1.0,0.375,0.375,0.375,1.0,0.7852,3.0,-527
t-CROSS-L-01,cross_dept,low_coupling,deepseek-v4-flash,1,blackboard,1.0,0.375,0.375,0.375,1.0,0.6035,3.0,-1164
t-CROSS-L-01,cross_dept,low_coupling,deepseek-v4-flash,2,blackboard,0.375,0.375,0.375,1.0,1.0,0.864,3.0,-306
t-CROSS-L-01,cross_dept,low_coupling,deepseek-v4-flash,0,concat,1.0,0.375,1.0,1.0,2.6667,0.7844,3.0,-529
t-CROSS-L-01,cross_dept,low_coupling,deepseek-v4-flash,1,concat,1.0,0.375,1.0,1.0,2.6667,0.6104,3.0,-1144
t-CROSS-L-01,cross_dept,low_coupling,deepseek-v4-flash,2,concat,0.375,0.375,1.0,2.6667,2.6667,0.8627,3.0,-309
t-CROSS-L-01,cross_dept,low_coupling,deepseek-v4-flash,0,integrator,1.0,0.375,1.0,1.0,2.6667,1.1161,4.0,285
t-CROSS-L-01,cross_dept,low_coupling,deepseek-v4-flash,1,integrator,1.0,0.375,0.375,0.375,1.0,0.8559,4.0,-423
