task_id,office_type,task_type,model,seed,assembly,Q_single,Q_single_matched,Q_team,CTR_naive,CTR_matched,TR,call_ratio,team_token_overhead
t-CONTENT-H-03,content,high_coupling,deepseek-v4-flash,0,integrator,1.0,0.625,0.6948,0.6948,1.1117,2.7672,5.0000,11529
t-CONTENT-H-03,content,high_coupling,deepseek-v4-flash,1,integrator,0.6948,0.6948,0.6948,1.0000,1.0000,2.0359,5.0000,8580
t-CONTENT-H-03,content,high_coupling,deepseek-v4-flash,2,integrator,1.0,0.625,0.6948,0.6948,1.1117,1.7411,5.0000,6162
t-CONTENT-L-01,content,low_coupling,deepseek-v4-flash,0,integrator,0.375,0.2083,1.0,2.6667,4.8000,1.6203,4.0000,3200
t-CONTENT-L-01,content,low_coupling,deepseek-v4-flash,1,integrator,0.375,0.375,1.0,2.6667,2.6667,0.8655,4.0000,-1187
t-CONTENT-L-01,content,low_coupling,deepseek-v4-flash,2,integrator,0.375,0.375,1.0,2.6667,2.6667,0.9291,4.0000,-515
t-CONTENT-M-02,content,medium_coupling,deepseek-v4-flash,0,integrator,0.5833,0.375,1.0,1.7144,2.6667,3.7955,4.0000,5549
t-CONTENT-M-02,content,medium_coupling,deepseek-v4-flash,1,integrator,0.5833,0.375,1.0,1.7144,2.6667,3.2044,4.0000,5112
t-CONTENT-M-02,content,medium_coupling,deepseek-v4-flash,2,integrator,0.375,0.375,0.875,2.3333,2.3333,1.2116,4.0000,965
t-CROSS-H-03,cross_dept,high_coupling,deepseek-v4-flash,0,integrator,0.25,0.25,0.875,3.5000,3.5000,4.6354,5.0000,10481
t-CROSS-H-03,cross_dept,high_coupling,deepseek-v4-flash,1,integrator,0.25,0.4583,0.875,3.5000,1.9091,3.0685,5.0000,12225
t-CROSS-H-03,cross_dept,high_coupling,deepseek-v4-flash,2,integrator,0.25,0.4583,0.875,3.5000,1.9091,1.8900,5.0000,5774
t-CROSS-L-01,cross_dept,low_coupling,deepseek-v4-flash,0,integrator,0.375,0.375,1.0,2.6667,2.6667,1.9395,4.0000,2315
t-CROSS-L-01,cross_dept,low_coupling,deepseek-v4-flash,1,integrator,1.0,1.0,0.1435,0.1435,0.1435,2.2452,4.0000,4575
t-CROSS-L-01,cross_dept,low_coupling,deepseek-v4-flash,2,integrator,1.0,0.375,1.0,1.0000,2.6667,2.7657,4.0000,3828
t-CROSS-M-02,cross_dept,medium_coupling,deepseek-v4-flash,0,integrator,0.501,0.5212,0.625,1.2475,1.1991,1.7360,4.0000,3020
t-CROSS-M-02,cross_dept,medium_coupling,deepseek-v4-flash,1,integrator,0.4635,0.501,0.8702,1.8775,1.7368,1.6563,4.0000,3385
t-CROSS-M-02,cross_dept,medium_coupling,deepseek-v4-flash,2,integrator,0.5052,0.4167,0.8125,1.6083,1.9500,3.1650,4.0000,9134
t-DATA-H-03,data,high_coupling,deepseek-v4-flash,0,integrator,1.0,1.0,1.0,1.0000,1.0000,2.2022,4.0000,8032
t-DATA-H-03,data,high_coupling,deepseek-v4-flash,1,integrator,1.0,1.0,1.0,1.0000,1.0000,3.3513,4.0000,11251
t-DATA-H-03,data,high_coupling,deepseek-v4-flash,2,integrator,1.0,1.0,0.9583,0.9583,0.9583,3.0724,4.0000,10820
t-DATA-L-01,data,low_coupling,deepseek-v4-flash,0,integrator,0.7917,0.375,1.0,1.2631,2.6667,1.1798,3.0000,1674
t-DATA-L-01,data,low_coupling,deepseek-v4-flash,1,integrator,0.375,0.7917,1.0,2.6667,1.2632,3.1724,3.0000,9602
t-DATA-L-01,data,low_coupling,deepseek-v4-flash,2,integrator,0.375,0.375,1.0,2.6667,2.6667,1.1696,3.0000,1508
t-DATA-M-02,data,medium_coupling,deepseek-v4-flash,0,integrator,0.3676,0.4821,0.8051,2.1902,1.6698,2.6982,4.0000,5823
t-DATA-M-02,data,medium_coupling,deepseek-v4-flash,1,integrator,0.5238,0.5937,0.809,1.5445,1.3625,3.1389,4.0000,11056
t-DATA-M-02,data,medium_coupling,deepseek-v4-flash,2,integrator,0.4926,0.6071,0.809,1.6423,1.3325,2.9002,4.0000,6299
t-DOC-H-03,document,high_coupling,deepseek-v4-flash,0,integrator,0.375,0.375,0.875,2.3333,2.3333,2.0613,5.0000,6924
t-DOC-H-03,document,high_coupling,deepseek-v4-flash,1,integrator,0.375,0.375,0.875,2.3333,2.3333,4.8071,5.0000,12906
t-DOC-H-03,document,high_coupling,deepseek-v4-flash,2,integrator,0.375,0.3438,0.5,1.3333,1.4545,1.2738,5.0000,3016
t-DOC-L-01,document,low_coupling,deepseek-v4-flash,0,integrator,0.8125,0.8125,0.8125,1.0000,1.0000,2.4130,4.0000,6275
t-DOC-L-01,document,low_coupling,deepseek-v4-flash,1,integrator,0.8125,0.8125,0.8125,1.0000,1.0000,2.5362,4.0000,7526
t-DOC-L-01,document,low_coupling,deepseek-v4-flash,2,integrator,0.625,0.8125,0.8125,1.3000,1.0000,2.7179,4.0000,7301
t-DOC-M-02,document,medium_coupling,deepseek-v4-flash,0,integrator,0.7292,0.7292,1.0,1.3714,1.3714,2.1330,4.0000,7430
t-DOC-M-02,document,medium_coupling,deepseek-v4-flash,1,integrator,0.7292,0.7292,1.0,1.3714,1.3714,1.4757,4.0000,3199
t-DOC-M-02,document,medium_coupling,deepseek-v4-flash,2,integrator,0.7292,0.7292,1.0,1.3714,1.3714,2.3376,4.0000,6867
t-PROJ-H-03,project,high_coupling,deepseek-v4-flash,0,integrator,0.5833,0.5833,1.0,1.7144,1.7143,1.5079,5.0000,6953
t-PROJ-H-03,project,high_coupling,deepseek-v4-flash,1,integrator,0.5833,0.5833,1.0,1.7144,1.7143,1.3005,5.0000,5491
t-PROJ-H-03,project,high_coupling,deepseek-v4-flash,2,integrator,0.5833,0.5833,1.0,1.7144,1.7143,2.1318,5.0000,11650
t-PROJ-L-01,project,low_coupling,deepseek-v4-flash,0,integrator,0.5833,0.5833,1.0,1.7144,1.7143,1.4832,4.0000,2576
t-PROJ-L-01,project,low_coupling,deepseek-v4-flash,1,integrator,0.5833,0.5833,1.0,1.7144,1.7143,2.9252,4.0000,4838
t-PROJ-L-01,project,low_coupling,deepseek-v4-flash,2,integrator,0.5833,0.5833,1.0,1.7144,1.7143,1.2137,4.0000,1098
t-PROJ-M-02,project,medium_coupling,deepseek-v4-flash,0,integrator,0.8611,0.75,0.875,1.0161,1.1667,0.9522,4.0000,-567
t-PROJ-M-02,project,medium_coupling,deepseek-v4-flash,1,integrator,0.8611,0.8611,0.8611,1.0000,1.0000,3.3370,4.0000,8619
t-PROJ-M-02,project,medium_coupling,deepseek-v4-flash,2,integrator,0.625,0.8611,0.7917,1.2667,0.9194,5.4786,4.0000,11004
