task_id,office_type,task_type,model,seed,assembly,Q_single,Q_single_matched,Q_team,CTR_naive,CTR_matched,TR,call_ratio,team_token_overhead
t-CONTENT-H-03,content,high_coupling,kimi-k3,0,integrator,1.0,1.0,0.625,0.6250,0.6250,6.0382,5.0000,26113
t-CONTENT-H-03,content,high_coupling,kimi-k3,1,integrator,1.0,1.0,1.0,1.0000,1.0000,8.2102,5.0000,31220
t-CONTENT-H-03,content,high_coupling,kimi-k3,2,integrator,1.0,1.0,1.0,1.0000,1.0000,3.2990,5.0000,12934
t-CONTENT-L-01,content,low_coupling,kimi-k3,0,integrator,0.375,0.5833,1.0,2.6667,1.7143,4.6277,4.0000,7883
t-CONTENT-L-01,content,low_coupling,kimi-k3,1,integrator,0.5833,0.5833,1.0,1.7144,1.7143,5.2458,4.0000,9137
t-CONTENT-L-01,content,low_coupling,kimi-k3,2,integrator,0.0,0.5833,1.0,NA,1.7143,2.3801,4.0000,8348
t-CONTENT-M-02,content,medium_coupling,kimi-k3,0,integrator,0.375,0.375,1.0,2.6667,2.6667,5.3045,4.0000,9091
t-CONTENT-M-02,content,medium_coupling,kimi-k3,1,integrator,0.375,0.375,1.0,2.6667,2.6667,3.9138,4.0000,6830
t-CONTENT-M-02,content,medium_coupling,kimi-k3,2,integrator,0.375,0.375,1.0,2.6667,2.6667,6.4962,4.0000,11520
t-CROSS-H-03,cross_dept,high_coupling,kimi-k3,0,integrator,0.25,0.4583,0.875,3.5000,1.9091,3.8074,5.0000,15014
t-CROSS-H-03,cross_dept,high_coupling,kimi-k3,1,integrator,0.25,0.25,0.875,3.5000,3.5000,3.4163,5.0000,14737
t-CROSS-H-03,cross_dept,high_coupling,kimi-k3,2,integrator,0.4583,0.25,0.875,1.9092,3.5000,4.9723,5.0000,16763
t-CROSS-L-01,cross_dept,low_coupling,kimi-k3,0,integrator,1.0,1.0,0.375,0.3750,0.3750,3.0461,4.0000,3730
t-CROSS-L-01,cross_dept,low_coupling,kimi-k3,1,integrator,1.0,1.0,1.0,1.0000,1.0000,3.1093,4.0000,4942
t-CROSS-L-01,cross_dept,low_coupling,kimi-k3,2,integrator,1.0,0.375,1.0,1.0000,2.6667,2.5276,4.0000,3735
t-CROSS-M-02,cross_dept,medium_coupling,kimi-k3,0,integrator,0.4792,0.4167,0.8125,1.6955,1.9500,3.8834,4.0000,8604
t-CROSS-M-02,cross_dept,medium_coupling,kimi-k3,1,integrator,0.4167,0.4479,0.625,1.4999,1.3953,3.5361,4.0000,7692
t-CROSS-M-02,cross_dept,medium_coupling,kimi-k3,2,integrator,0.4167,0.5104,0.8125,1.9498,1.5918,3.9831,4.0000,9698
t-DATA-H-03,data,high_coupling,kimi-k3,0,integrator,1.0,1.0,1.0,1.0000,1.0000,3.5229,4.0000,11951
t-DATA-H-03,data,high_coupling,kimi-k3,1,integrator,1.0,1.0,1.0,1.0000,1.0000,3.6137,4.0000,11422
t-DATA-H-03,data,high_coupling,kimi-k3,2,integrator,1.0,1.0,1.0,1.0000,1.0000,3.8742,4.0000,12707
t-DATA-L-01,data,low_coupling,kimi-k3,0,integrator,0.375,0.375,1.0,2.6667,2.6667,1.9680,3.0000,3876
t-DATA-L-01,data,low_coupling,kimi-k3,1,integrator,0.375,0.375,1.0,2.6667,2.6667,2.9636,3.0000,7332
t-DATA-L-01,data,low_coupling,kimi-k3,2,integrator,0.375,0.375,1.0,2.6667,2.6667,1.4268,3.0000,2578
t-DATA-M-02,data,medium_coupling,kimi-k3,0,integrator,0.5134,0.6071,0.8051,1.5682,1.3260,3.9271,4.0000,7549
t-DATA-M-02,data,medium_coupling,kimi-k3,1,integrator,0.6384,0.4509,0.8403,1.3163,1.8636,4.4852,4.0000,9065
t-DATA-M-02,data,medium_coupling,kimi-k3,2,integrator,0.6071,0.6071,0.8363,1.3775,1.3774,3.8426,4.0000,9136
t-DOC-H-03,document,high_coupling,kimi-k3,0,integrator,0.375,0.375,0.875,2.3333,2.3333,9.7472,5.0000,37814
t-DOC-H-03,document,high_coupling,kimi-k3,1,integrator,0.375,0.375,0.875,2.3333,2.3333,5.6730,5.0000,19879
t-DOC-H-03,document,high_coupling,kimi-k3,2,integrator,0.375,0.375,0.875,2.3333,2.3333,7.3561,5.0000,27236
t-DOC-L-01,document,low_coupling,kimi-k3,0,integrator,1.0,0.8125,0.7917,0.7917,0.9744,9.2646,4.0000,15678
t-DOC-L-01,document,low_coupling,kimi-k3,1,integrator,0.625,0.8125,0.8125,1.3000,1.0000,5.2464,4.0000,9996
t-DOC-L-01,document,low_coupling,kimi-k3,2,integrator,0.8125,0.8125,0.8125,1.0000,1.0000,7.4594,4.0000,10981
t-DOC-M-02,document,medium_coupling,kimi-k3,0,integrator,0.5238,0.7292,1.0,1.9091,1.3714,7.2618,4.0000,15717
t-DOC-M-02,document,medium_coupling,kimi-k3,1,integrator,0.7292,0.7292,1.0,1.3714,1.3714,3.6058,4.0000,9983
t-DOC-M-02,document,medium_coupling,kimi-k3,2,integrator,0.7292,0.7292,1.0,1.3714,1.3714,6.5210,4.0000,15873
t-PROJ-H-03,project,high_coupling,kimi-k3,0,integrator,0.5833,0.5833,1.0,1.7144,1.7143,4.8226,5.0000,21716
t-PROJ-H-03,project,high_coupling,kimi-k3,1,integrator,0.5833,0.5833,1.0,1.7144,1.7143,3.1133,5.0000,16769
t-PROJ-H-03,project,high_coupling,kimi-k3,2,integrator,0.5833,0.5833,1.0,1.7144,1.7143,5.2096,5.0000,21427
t-PROJ-L-01,project,low_coupling,kimi-k3,0,integrator,0.5833,0.5833,1.0,1.7144,1.7143,3.9682,4.0000,6530
t-PROJ-L-01,project,low_coupling,kimi-k3,1,integrator,0.5833,0.5833,1.0,1.7144,1.7143,3.6460,4.0000,6885
t-PROJ-L-01,project,low_coupling,kimi-k3,2,integrator,0.375,0.5833,1.0,2.6667,1.7143,3.7002,4.0000,7061
t-PROJ-M-02,project,medium_coupling,kimi-k3,0,integrator,0.75,0.85,0.7778,1.0371,0.9151,4.2534,4.0000,12109
t-PROJ-M-02,project,medium_coupling,kimi-k3,1,integrator,0.875,0.875,0.7917,0.9048,0.9048,5.5014,4.0000,14652
t-PROJ-M-02,project,medium_coupling,kimi-k3,2,integrator,0.875,0.75,0.7778,0.8889,1.0371,4.1746,4.0000,14362
