task_id,office_type,task_type,mode,model,seed,Q,TMS,prompt_tokens,completion_tokens,total_tokens,cached_tokens,elapsed,llm_calls,error
t-CONTENT-H-03,content,high_coupling,single_refine_k,kimi-k3,0,1.0,True,8562,12437,20999,0,307.4,4,""
t-CONTENT-H-03,content,high_coupling,single_refine_k,kimi-k3,1,1.0,True,9160,14289,23449,0,365.13,4,""
t-CONTENT-H-03,content,high_coupling,single_refine_k,kimi-k3,2,1.0,True,8345,14368,22713,0,381.02,4,""
t-CONTENT-H-03,content,high_coupling,single,kimi-k3,0,1.0,True,645,4538,5183,0,129.09,1,""
t-CONTENT-H-03,content,high_coupling,single,kimi-k3,1,1.0,True,645,3685,4330,512,96.72,1,""
t-CONTENT-H-03,content,high_coupling,single,kimi-k3,2,1.0,True,645,4981,5626,512,135.84,1,""
t-CONTENT-H-03,content,high_coupling,team_blackboard,kimi-k3,0,0.6875,False,6457,4222,10679,1024,121.24,4,""
t-CONTENT-H-03,content,high_coupling,team_blackboard,kimi-k3,1,0.8438,False,6903,4037,10940,512,118.14,4,""
t-CONTENT-H-03,content,high_coupling,team_blackboard,kimi-k3,2,0.3125,False,6742,4513,11255,2048,135.97,4,""
t-CONTENT-H-03,content,high_coupling,team_concat,kimi-k3,0,0.625,False,6618,4741,11359,256,140.24,4,""
t-CONTENT-H-03,content,high_coupling,team_concat,kimi-k3,1,0.625,False,6981,5676,12657,512,148.14,4,""
t-CONTENT-H-03,content,high_coupling,team_concat,kimi-k3,2,0.625,False,7025,4652,11677,768,140.45,4,""
t-CONTENT-H-03,content,high_coupling,team_integrator,kimi-k3,0,0.625,False,11259,20037,31296,2048,505.71,5,""
t-CONTENT-H-03,content,high_coupling,team_integrator,kimi-k3,1,1.0,True,11279,24271,35550,1536,636.82,5,""
t-CONTENT-H-03,content,high_coupling,team_integrator,kimi-k3,2,1.0,True,9696,8864,18560,1536,236.44,5,""
t-CONTENT-H-03,content,high_coupling,team_last,kimi-k3,0,0.1562,False,7169,5062,12231,3328,145.41,4,""
t-CONTENT-H-03,content,high_coupling,team_last,kimi-k3,1,0.226,False,6739,3537,10276,1536,107.94,4,""
t-CONTENT-H-03,content,high_coupling,team_last,kimi-k3,2,0.5312,False,6162,6471,12633,512,173.53,4,""
t-CONTENT-L-01,content,low_coupling,single_refine_k,kimi-k3,0,0.5833,False,4962,18409,23371,0,495.78,3,""
t-CONTENT-L-01,content,low_coupling,single_refine_k,kimi-k3,1,0.7917,False,4137,8251,12388,0,230.91,3,""
t-CONTENT-L-01,content,low_coupling,single_refine_k,kimi-k3,2,0.5833,False,3883,7309,11192,0,231.22,3,""
